"取引No","取引日","勘定科目","補助科目","部門","取引先","税区分","インボイス","相手勘定科目","相手補助科目","相手部門","相手取引先","相手税区分","相手インボイス","摘要","借方金額","貸方金額","残高","メモ","タグ"
"2116","2025/11/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_10月分
","0","19958","1472548","",""
"2114","2025/11/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_～10/6","0","12548","1460000","",""
"2113","2025/11/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","1396530","",""
"2120","2025/12/01","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","年金事務所","","","対象外","","社会保険料","0","474772","921758","",""
"2109","2025/12/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上

","14606","0","936364","",""
"2115","2025/12/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","934714","",""
"2249","2025/12/12","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","FC事業","","対象外","","SHOPIFY_アパレル売上
","20058","0","954772","",""
"2252","2025/12/15","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","FC収入","","FC事業","","課売 10%","","ストライプジャパン_12月分_ShapeUnity売上","134784","0","1089556","",""
"2250","2025/12/19","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","FC事業","","対象外","","SHOPIFY_アパレル売上
","46219","0","1135775","",""
"2219","2025/12/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_11月分
","0","19958","1115817","",""
"2253","2025/12/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","ペイデイ_アパレル売上","12476","0","1128293","",""
"2244","2025/12/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","保留勘定","","","","対象外","","扶桑社_「モチベが上がる　なーすけ流筋トレ」本印税","1393","0","1129686","","詳細記載紫音"
"2243","2025/12/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_～11/4","0","4378","1125308","",""
"2251","2025/12/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上
","45023","0","1170331","",""
"2266","2025/12/29","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","1106861","",""
"2347","2026/01/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","振込手数料","本社共通費","","課仕 10%","","手数料","0","1650","1105211","",""
"2349","2026/01/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","年金事務所","","","対象外","","社会保険料","0","474772","630439","",""
"2350","2026/01/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","10496","0","640935","",""
"2474","2026/01/09","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","13563","0","654498","",""
"2444","2026/01/16","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","毎月／所得税","","","対象外","","鶴見税務署_源泉徴収_5/10納付期限分","0","213752","440746","",""
"2477","2026/01/16","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","8045","0","448791","",""
"2445","2026/01/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","半年／所得税","","","対象外","","鶴見税務署_源泉徴収_特例","0","328316","120475","",""
"2473","2026/01/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","ペイデイ_アパレル売上","33536","0","154011","",""
"2442","2026/01/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_12月分
","0","19958","134053","",""
"2476","2026/01/23","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","27585","0","161638","",""
"2441","2026/01/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_～12/31","0","5203","156435","",""
"2440","2026/01/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","92965","",""
"2475","2026/01/30","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","16059","0","109024","",""
"2501","2026/02/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","107374","",""
"2598","2026/02/06","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","27496","0","134870","",""
"2507","2026/02/13","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","普通預金","法人楽天銀行第三営業支店円預金(普通預金)7236500","","","対象外","","芝信用金庫 大森駅前支店 普通預金 0043055 カ)シエイプ フイツト(依頼人名:カ)シエイプ フイツト 振込予定日:2026年02月13日 管理番号:20260213-49317471)","2000000","0","2134870","",""
"2601","2026/02/13","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","947","0","2135817","",""
"2593","2026/02/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","ペイデイ_アパレル売上","7000","0","2142817","",""
"2600","2026/02/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","54250","0","2197067","",""
"2592","2026/02/24","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_1月分
","0","19958","2177109","",""
"2590","2026/02/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","保留勘定","","","","対象外","","ジムの現金を芝信用金庫に入金","23300","0","2200409","","詳細記載紫音"
"2591","2026/02/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","保留勘定","","","","対象外","","本社現金財布に追加分","0","80000","2120409","","詳細記載紫音"
"2589","2026/02/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_～1/5","0","5478","2114931","",""
"2588","2026/02/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","2051461","",""
"2599","2026/02/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","","","対象外","","SHOPIFY_アパレル売上","5004","0","2056465","",""
